web_scraper_order,web_scraper_start_url,annee marque et model,prix,kilometrage,boite de vitesse,region vente
"1786443252-73","https://www.gaaraas.com/fr/users/dakar-auto?page=1","Citroen C3","1 800 000","220 000 km","Manuelle","Dakar"
"1786443252-74","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Ford Edge","7 000 000","125 000 km","Automatique","Dakar"
"1786443252-75","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2002 Peugeot 406","2 200 000","140 000 km","Manuelle","Dakar"
"1786443252-76","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Peugeot 308","3 600 000","140 000 km","Manuelle","Dakar"
"1786443252-77","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2000 Volkswagen Golf","1 500 000","160 000 km","Manuelle","Dakar"
"1786443252-78","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2003 Peugeot 406","2 600 000","160 000 km","Manuelle","Dakar"
"1786443252-79","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Peugeot 308","3 300 000","256 730 km","Manuelle","Dakar"
"1786443252-80","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Hyundai Tucson","3 400 000","140 000 km","Manuelle","Dakar"
"1786443252-81","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Citroen C3","2 300 000","128 000 km","Manuelle","Dakar"
"1786443252-82","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2000 Peugeot 309","2 800 000","130 000 km","Manuelle","Dakar"
"1786443252-83","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 307","2 500 000","160 000 km","Manuelle","Dakar"
"1786443252-84","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Peugeot 307","2 500 000","128 000 km","Manuelle","Dakar"
"1786443252-85","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Renault Clio","2 700 000","120 000 km","Manuelle","Dakar"
"1786443252-86","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Ford Escort","2 700 000","174 000 km","Manuelle","Dakar"
"1786443252-87","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Skoda Fabia","1 800 000","220 000 km","Manuelle","Dakar"
"1786443252-88","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2000 Renault 19","2 000 000","160 000 km","Manuelle","Dakar"
"1786443252-89","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Skoda Octavia","1 900 000","160 000 km","Manuelle","Dakar"
"1786443252-90","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Kia Soul","3 500 000","172 900 km","Manuelle","Dakar"
"1786443252-91","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Hyundai Getz","1 800 000","98 000 km","Manuelle","Dakar"
"1786443252-92","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Nissan Murano","3 200 000","115 305 km","Automatique","Dakar"
"1786443252-93","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2012 Peugeot 207","3 800 000","142 000 km","Automatique","Dakar"
"1786443252-94","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Mitsubishi Spacestar","2 000 000","160 000 km","Manuelle","Dakar"
"1786443252-95","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2004 Peugeot 307","2 700 000","140 000 km","Manuelle","Dakar"
"1786443252-96","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2013 Hyundai Elantra","6 500 000","66 000 km","Automatique","Dakar"
"1786443252-97","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 807","2 800 000","160 000 km","Manuelle","Dakar"
"1786443252-98","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2012 Peugeot 308","3 800 000","103 000 km","Manuelle","Dakar"
"1786443252-99","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2002 Peugeot 405","2 200 000","160 000 km","Manuelle","Dakar"
"1786443252-100","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 308","2 800 000","230 000 km","Manuelle","Dakar"
"1786443252-101","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Citroen C3","2 100 000","110 000 km","Manuelle","Dakar"
"1786443252-102","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Renault Logan","2 900 000","160 000 km","Manuelle","Dakar"
"1786443252-103","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2000 Renault 19","1 800 000","180 000 km","Manuelle","Dakar"
"1786443252-104","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Toyota RAV4","2 900 000","130 000 km","Manuelle","Dakar"
"1786443252-105","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 307","2 500 000","120 000 km","Automatique","Dakar"
"1786443252-106","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 BMW 315","1 500 000","120 000 km","Manuelle","Dakar"
"1786443252-107","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Jeep Patriot","3 900 000","140 000 km","Manuelle","Dakar"
"1786443252-108","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Peugeot 206","2 300 000","164 000 km","Manuelle","Dakar"
"1786443252-109","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2011 Mitsubishi ASX","6 000 000","94 954 km","Manuelle","Dakar"
"1786443252-110","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Citroen C3","1 800 000","160 000 km","Manuelle","Dakar"
"1786443252-111","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Mitsubishi L200","7 800 000","160 000 km","Manuelle","Dakar"
"1786443252-112","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 307","2 400 000","160 000 km","Manuelle","Dakar"
"1786443252-113","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Peugeot 308","3 300 000","120 000 km","Manuelle","Dakar"
"1786443252-114","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Toyota Corolla","3 300 000","140 000 km","Manuelle","Dakar"
"1786443252-115","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 BMW X1","3 700 000","150 000 km","Automatique","Dakar"
"1786443252-116","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Peugeot 207","1 800 000","120 000 km","Manuelle","Dakar"
"1786443252-117","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2002 Renault 21","2 700 000","160 000 km","Manuelle","Dakar"
"1786443252-118","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 307","2 100 000","132 000 km","Manuelle","Dakar"
"1786443252-119","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Volkswagen Passat","1 600 000","120 000 km","Manuelle","Dakar"
"1786443252-120","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Renault Megane","1 600 000","180 000 km","Manuelle","Dakar"
"1786443252-121","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Citroen C5","2 700 000","130 000 km","Manuelle","Dakar"
"1786443252-122","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Kia Carnival","2 500 000","160 000 km","Manuelle","Dakar"
"1786443252-123","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Land Rover Range Rover Sport","","160 000 km","Automatique","Dakar"
"1786443252-124","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Peugeot 307","3 200 000","128 000 km","Manuelle","Dakar"
"1786443252-125","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2011 Citroen C3","2 800 000","136 000 km","Manuelle","Dakar"
"1786443252-126","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2013 Chevrolet Sail","2 200 000","90 000 km","Manuelle","Dakar"
"1786443252-127","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Renault Scenic","2 300 000","200 000 km","Manuelle","Dakar"
"1786443252-128","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2004 Toyota Corolla","2 700 000","28 752 km","Manuelle","Dakar"
"1786443252-129","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Dacia Sandero","2 800 000","140 000 km","Manuelle","Dakar"
"1786443252-130","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Citroen C3","1 500 000","160 000 km","Manuelle","Dakar"
"1786443252-131","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Citroen C3","2 000 000","180 000 km","Manuelle","Dakar"
"1786443252-132","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Ford Fusion","2 000 000","144 000 km","Automatique","Dakar"
"1786443252-133","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Renault Laguna","2 000 000","160 000 km","Manuelle","Dakar"
"1786443252-134","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Nissan Rogue","5 500 000","160 000 km","Automatique","Dakar"
"1786443252-135","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2011 Ford Edge","10 000 000","105 000 km","Automatique","Dakar"
"1786443252-136","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Citroen C4","2 100 000","160 000 km","Manuelle","Dakar"
"1786443252-137","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2012 Skoda Octavia","3 500 000","147 000 km","Manuelle","Dakar"
"1786443252-138","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Citroen Berlingo","2 000 000","140 000 km","Manuelle","Dakar"
"1786443252-139","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Citroen Berlingo","2 300 000","160 000 km","Manuelle","Dakar"
"1786443252-140","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Peugeot 207","3 200 000","144 410 km","Manuelle","Dakar"
"1786443252-141","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 307","2 300 000","137 000 km","Manuelle","Dakar"
"1786443252-142","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Peugeot 206","2 000 000","130 000 km","Manuelle","Dakar"
"1786443252-143","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2004 Renault Laguna","2 000 000","160 000 km","Manuelle","Dakar"
"1786443252-144","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2004 Mercedes‒Benz 250","1 900 000","160 000 km","Manuelle","Dakar"
"1786443252-145","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2013 Nissan Qashqai+2","6 500 000","101 000 km","Manuelle","Dakar"
"1786443252-146","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2011 Ford Escape","4 300 000","130 000 km","Automatique","Dakar"
"1786443252-147","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 307","2 100 000","90 000 km","Manuelle","Dakar"
"1786443252-148","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2013 Hyundai Elantra","5 800 000","21 000 km","Automatique","Dakar"
"1786443252-149","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2012 Mitsubishi Endeavor","4 300 000","100 000 km","Automatique","Dakar"
"1786443252-150","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2011 Peugeot 508","5 500 000","179 000 km","Automatique","Dakar"
"1786443252-151","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Citroen C3","1 900 000","160 000 km","Manuelle","Dakar"
